kbo_player_id,team,player_name,position_group,source_level,sample,seasons,contact,power,plate_discipline,bat_control,timing,bunt,speed,baserunning_judgment,fielding_range,catching,throwing_power,throwing_accuracy,fielding_judgment,composure,leadership,aggressiveness,pitcher_velocity,pitcher_stuff,pitcher_command,pitcher_movement,pitcher_stamina,pitcher_pitchability,pitcher_strikeout,pitcher_walk_control,pitcher_composure,pitch_four_seam,pitch_sinker,pitch_cutter,pitch_changeup,pitch_slider,pitch_curve,pitch_splitter,pitch_sweeper,pitch_knuckleball,formula_version
78122,KIA 타이거즈,김태군,C,KBO_2024_2025,544,2024+2025,13,13,10,14,13,1,8,7,12,11,14,9,13,13,14,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
66354,KIA 타이거즈,주효상,C,KBO_2024_2025,17,2025,12,11,11,11,11,1,11,11,11,11,11,10,11,11,9,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
63722,KIA 타이거즈,한승택,C,KBO_2024_2025,38,2024+2025,10,9,10,10,10,1,10,10,11,11,11,12,11,10,10,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
68646,KIA 타이거즈,한준수,C,KBO_2024_2025,592,2024+2025,12,14,13,13,13,1,9,8,12,12,12,11,12,12,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
66614,KIA 타이거즈,김규성,IF,KBO_2024_2025,237,2024+2025,11,10,13,11,11,1,13,13,12,9,10,8,11,12,10,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
52605,KIA 타이거즈,김도영,IF,KBO_2024_2025,747,2024+2025,16,17,12,13,14,1,13,14,11,10,11,10,11,13,8,13,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
78603,KIA 타이거즈,김선빈,IF,KBO_2024_2025,774,2024+2025,17,13,13,15,16,1,12,14,8,8,10,9,9,14,14,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
50657,KIA 타이거즈,박민,IF,KBO_2024_2025,135,2024+2025,9,10,8,9,10,1,12,12,12,13,14,13,11,10,8,12,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
64646,KIA 타이거즈,박찬호,IF,KBO_2024_2025,1172,2024+2025,16,11,14,16,16,1,15,14,15,13,16,12,14,14,12,11,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
69727,KIA 타이거즈,변우혁,IF,KBO_2024_2025,340,2024+2025,10,9,9,9,9,1,9,10,12,13,11,12,11,10,8,10,,,,,,,,,,,,,,,,,,,kbo-player-abilities-2024-2025-v1
