kbo_player_id,team,player_name,position_group,column,before,after,delta,source_level,formula_version
78122,KIA 타이거즈,김태군,C,contact,14,13,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
78122,KIA 타이거즈,김태군,C,plate_discipline,11,10,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
78122,KIA 타이거즈,김태군,C,bat_control,15,14,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
78122,KIA 타이거즈,김태군,C,speed,10,8,-2,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
78122,KIA 타이거즈,김태군,C,baserunning_judgment,8,7,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
66354,KIA 타이거즈,주효상,C,contact,13,12,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
66354,KIA 타이거즈,주효상,C,plate_discipline,12,11,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
63722,KIA 타이거즈,한승택,C,contact,9,10,1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
63722,KIA 타이거즈,한승택,C,power,7,9,2,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
63722,KIA 타이거즈,한승택,C,plate_discipline,7,10,3,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
63722,KIA 타이거즈,한승택,C,bat_control,7,10,3,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
63722,KIA 타이거즈,한승택,C,timing,9,10,1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
63722,KIA 타이거즈,한승택,C,baserunning_judgment,11,10,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
68646,KIA 타이거즈,한준수,C,contact,11,12,1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
68646,KIA 타이거즈,한준수,C,power,15,14,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
68646,KIA 타이거즈,한준수,C,plate_discipline,14,13,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
68646,KIA 타이거즈,한준수,C,timing,12,13,1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
68646,KIA 타이거즈,한준수,C,speed,10,9,-1,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
68646,KIA 타이거즈,한준수,C,baserunning_judgment,10,8,-2,KBO_2024_2025,kbo-player-abilities-2024-2025-v1
