"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","50054","KBO-50054","LG 트윈스","천성호","IF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50054","0.295","75","255","234","41","69","8","3","1","86","17","7","0","18","1","43","5","0.368","0.346","4","0.714"
"2024","50066","KBO-50066","KT 위즈","강현우","C","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50066","0.308","18","36","26","4","8","1","0","1","12","8","0","0","8","0","10","0","0.462","0.471","2","0.933"
"2024","50092","KBO-50092","KT 위즈","윤준혁","IF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50092","0.176","13","18","17","3","3","2","0","0","5","0","0","0","1","0","6","0","0.294","0.222","1","0.516"
"2024","50108","KBO-50108","LG 트윈스","함창건","OF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50108","0.143","15","17","14","3","2","0","0","0","2","0","0","0","2","0","3","1","0.143","0.250","0","0.393"
"2024","50150","KBO-50150","롯데 자이언츠","손호영","IF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150","0.317","102","430","398","70","126","26","4","18","214","78","7","4","17","9","65","6","0.538","0.354","14","0.892"
"2024","50167","KBO-50167","키움 히어로즈","이주형","OF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50167","0.266","115","537","473","82","126","19","3","13","190","60","6","0","49","14","119","4","0.402","0.352","3","0.754"
"2024","50204","KBO-50204","두산 베어스","박지훈","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50204","","","","","","","","","","","","","","","","","","","","",""
"2024","50208","KBO-50208","두산 베어스","오명진","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50208","0.000","2","2","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0.000","0.500","0","0.500"
"2024","50304","KBO-50304","키움 히어로즈","김병휘","IF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50304","0.169","28","71","59","6","10","3","0","1","16","3","0","0","6","5","26","0","0.271","0.300","2","0.571"
"2024","50357","KBO-50357","키움 히어로즈","박주홍","OF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50357","0.102","25","59","49","5","5","2","0","0","7","1","2","0","10","0","17","1","0.143","0.254","0","0.397"
"2024","50458","KBO-50458","삼성 라이온즈","김지찬","OF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50458","0.316","135","535","453","102","143","16","3","3","174","36","42","4","60","9","40","5","0.384","0.405","3","0.789"
"2024","50500","KBO-50500","롯데 자이언츠","황성빈","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50500","0.320","125","406","366","94","117","15","8","4","160","26","51","10","31","2","56","3","0.437","0.375","4","0.812"
"2024","50600","KBO-50600","NC 다이노스","홍종표","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50600","0.295","100","115","105","27","31","4","3","0","41","11","5","2","6","1","31","0","0.390","0.339","5","0.729"
"2024","50608","KBO-50608","롯데 자이언츠","이인한","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50608","0.500","5","5","4","0","2","0","0","0","2","2","0","0","0","1","1","0","0.500","0.600","0","1.100"
"2024","50657","KBO-50657","KIA 타이거즈","박민","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50657","0.276","16","30","29","5","8","4","0","0","12","2","0","1","1","0","7","0","0.414","0.300","6","0.714"
"2024","50704","KBO-50704","한화 이글스","임종찬","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50704","0.158","24","64","57","10","9","3","2","0","16","7","0","1","6","1","19","2","0.281","0.250","0","0.531"
"2024","50707","KBO-50707","한화 이글스","최인호","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50707","0.286","82","244","210","37","60","13","2","2","83","22","3","0","25","3","31","3","0.395","0.367","2","0.762"
"2024","50709","KBO-50709","한화 이글스","박정현","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50709","","","","","","","","","","","","","","","","","","","","",""
"2024","50840","KBO-50840","SSG 랜더스","현원회","IF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50840","0.000","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0.000","0.000","0","0.000"
"2024","50848","KBO-50848","SSG 랜더스","김성민","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50848","","","","","","","","","","","","","","","","","","","","",""
"2024","50854","KBO-50854","SSG 랜더스","최지훈","OF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50854","0.275","125","543","483","89","133","22","7","11","202","49","32","5","50","2","71","5","0.418","0.345","7","0.763"
"2024","50868","KBO-50868","SSG 랜더스","류효승","OF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50868","0.000","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0","0.000"
"2024","50901","KBO-50901","NC 다이노스","안인산","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50901","","","","","","","","","","","","","","","","","","","","",""
"2024","50902","KBO-50902","NC 다이노스","김한별","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50902","0.318","40","50","44","8","14","1","0","0","15","3","0","0","2","4","9","2","0.341","0.400","1","0.741"
"2024","50903","KBO-50903","NC 다이노스","한재환","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50903","0.222","7","9","9","1","2","1","0","0","3","1","0","0","0","0","3","0","0.333","0.222","0","0.555"
"2024","50906","KBO-50906","NC 다이노스","박영빈","OF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50906","0.500","19","7","6","3","3","2","0","0","5","1","2","1","1","0","3","0","0.833","0.571","0","1.404"
"2024","50996","KBO-50996","NC 다이노스","박시원","OF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50996","0.234","55","158","141","17","33","5","1","2","46","17","3","0","14","0","46","2","0.326","0.301","2","0.627"
"2024","51003","KBO-51003","KT 위즈","권동진","IF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51003","0.222","9","10","9","3","2","0","0","0","2","0","0","0","1","0","2","0","0.222","0.300","1","0.522"
"2024","51005","KBO-51005","KT 위즈","김건형","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51005","0.125","13","25","24","2","3","1","0","0","4","1","0","0","1","0","8","0","0.167","0.160","0","0.327"
"2024","51007","KBO-51007","KT 위즈","최성민","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51007","","","","","","","","","","","","","","","","","","","","",""
"2024","51013","KBO-51013","KT 위즈","유준규","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51013","","","","","","","","","","","","","","","","","","","","",""
"2024","51100","KBO-51100","LG 트윈스","이영빈","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51100","0.222","31","71","63","11","14","2","0","2","22","12","0","1","4","0","20","0","0.349","0.261","1","0.610"
"2024","51203","KBO-51203","두산 베어스","안재석","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51203","","","","","","","","","","","","","","","","","","","","",""
"2024","51269","KBO-51269","두산 베어스","강현구","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51269","","","","","","","","","","","","","","","","","","","","",""
"2024","51298","KBO-51298","두산 베어스","박성재","C","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51298","","","","","","","","","","","","","","","","","","","","",""
"2024","51302","KBO-51302","키움 히어로즈","이주형","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51302","","","","","","","","","","","","","","","","","","","","",""
"2024","51344","KBO-51344","NC 다이노스","김휘집","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51344","0.258","140","562","488","78","126","24","1","16","200","73","4","3","52","10","119","16","0.410","0.337","16","0.747"
"2024","51407","KBO-51407","삼성 라이온즈","이창용","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51407","0.190","9","21","21","1","4","1","0","0","5","2","0","0","0","0","4","0","0.238","0.190","1","0.428"
"2024","51528","KBO-51528","롯데 자이언츠","손성빈","C","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51528","0.197","86","171","152","24","30","6","2","6","58","21","0","0","13","3","38","3","0.382","0.271","4","0.653"
"2024","51551","KBO-51551","롯데 자이언츠","나승엽","IF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51551","0.312","121","489","407","59","127","35","4","7","191","66","1","0","69","4","83","4","0.469","0.411","11","0.880"
"2024","51762","KBO-51762","한화 이글스","장규현","C","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51762","0.000","9","7","6","0","0","0","0","0","0","0","0","0","1","0","1","0","0.000","0.143","1","0.143"
"2024","51764","KBO-51764","한화 이글스","정민규","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51764","","","","","","","","","","","","","","","","","","","","",""
"2024","51860","KBO-51860","SSG 랜더스","박정빈","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51860","","","","","","","","","","","","","","","","","","","","",""
"2024","51865","KBO-51865","SSG 랜더스","조형우","C","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51865","0.242","19","38","33","4","8","0","0","0","8","4","0","0","1","4","6","0","0.242","0.342","1","0.584"
"2024","51868","KBO-51868","SSG 랜더스","고명준","IF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51868","0.250","106","366","340","33","85","13","0","11","131","45","3","4","25","1","90","4","0.385","0.303","5","0.688"
"2024","51903","KBO-51903","NC 다이노스","김정호","C","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51903","","","","","","","","","","","","","","","","","","","","",""
"2024","51907","KBO-51907","NC 다이노스","김주원","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51907","0.252","134","475","385","61","97","18","2","9","146","49","16","6","51","25","111","5","0.379","0.371","18","0.750"
"2024","51996","KBO-51996","NC 다이노스","오태양","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51996","","","","","","","","","","","","","","","","","","","","",""
"2024","52001","KBO-52001","KT 위즈","안현민","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52001","0.200","16","29","25","5","5","0","1","1","10","2","0","0","2","1","10","0","0.400","0.276","0","0.676"
"2024","52002","KBO-52002","KT 위즈","김병준","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52002","0.357","35","16","14","9","5","0","0","0","5","1","0","0","2","0","2","0","0.357","0.438","0","0.795"
"2024","52103","KBO-52103","LG 트윈스","최원영","OF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52103","0.270","57","41","37","18","10","2","0","1","15","5","6","4","1","3","7","0","0.405","0.341","2","0.746"
"2024","52105","KBO-52105","LG 트윈스","김성우","C","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52105","0.000","4","5","5","0","0","0","0","0","0","0","0","0","0","0","4","0","0.000","0.000","0","0.000"
"2024","52121","KBO-52121","LG 트윈스","문정빈","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52121","","","","","","","","","","","","","","","","","","","","",""
"2024","52154","KBO-52154","LG 트윈스","이주헌","C","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52154","0.667","3","6","6","0","4","2","0","0","6","3","0","0","0","0","2","0","1.000","0.667","0","1.667"
"2024","52208","KBO-52208","두산 베어스","천현재","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52208","","","","","","","","","","","","","","","","","","","","",""
"2024","52267","KBO-52267","두산 베어스","김동준","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52267","","","","","","","","","","","","","","","","","","","","",""
"2024","52305","KBO-52305","키움 히어로즈","박수종","OF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52305","0.256","80","148","129","23","33","5","1","0","40","6","3","0","13","2","17","4","0.310","0.333","4","0.643"
"2024","52415","KBO-52415","삼성 라이온즈","이재현","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52415","0.260","109","458","389","71","101","18","1","14","163","66","2","1","58","8","83","8","0.419","0.365","11","0.784"
"2024","52424","KBO-52424","삼성 라이온즈","김재혁","OF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52424","0.184","35","54","49","6","9","2","1","0","13","6","2","2","3","0","19","2","0.265","0.222","1","0.487"
"2024","52430","KBO-52430","삼성 라이온즈","김영웅","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52430","0.252","126","509","456","65","115","16","3","28","221","79","9","2","45","3","155","2","0.485","0.321","15","0.806"
"2024","52504","KBO-52504","롯데 자이언츠","김동혁","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52504","0.200","39","17","15","8","3","0","1","0","5","1","3","1","2","0","5","0","0.333","0.294","2","0.627"
"2024","52514","KBO-52514","롯데 자이언츠","김세민","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52514","","","","","","","","","","","","","","","","","","","","",""
"2024","52516","KBO-52516","롯데 자이언츠","조세진","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52516","","","","","","","","","","","","","","","","","","","","",""
"2024","52568","KBO-52568","롯데 자이언츠","한태양","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52568","","","","","","","","","","","","","","","","","","","","",""
"2024","52591","KBO-52591","롯데 자이언츠","윤동희","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52591","0.293","141","613","532","97","156","35","4","14","241","85","7","8","67","7","114","10","0.453","0.376","4","0.829"
"2024","52605","KBO-52605","KIA 타이거즈","김도영","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52605","0.347","141","625","544","143","189","29","10","38","352","109","40","4","66","7","110","10","0.647","0.420","30","1.067"
"2024","52667","KBO-52667","KIA 타이거즈","윤도현","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52667","0.407","6","27","27","5","11","2","0","1","16","8","1","0","0","0","9","0","0.593","0.407","0","1.000"
