"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","50054","KBO-50054","LG 트윈스","천성호","IF","KT","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50054","0.310","33","135","113","20","35","6","5","0","51","24","7","1","17","4","19","4","0.451","0.415","1","0.866"
"2024","50066","KBO-50066","KT 위즈","강현우","C","KT","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50066","0.307","46","165","137","23","42","7","0","1","52","26","2","3","25","1","16","10","0.380","0.415","2","0.795"
"2024","50092","KBO-50092","KT 위즈","윤준혁","IF","KT","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50092","0.345","63","229","197","43","68","10","1","6","98","33","19","9","29","2","40","7","0.497","0.432","9","0.929"
"2024","50108","KBO-50108","LG 트윈스","함창건","OF","LG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50108","0.304","77","291","253","55","77","19","1","7","119","32","3","6","35","3","46","1","0.470","0.395","5","0.865"
"2024","50150","KBO-50150","롯데 자이언츠","손호영","IF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150","0.222","3","9","9","2","2","0","0","0","2","0","0","0","0","0","2","0","0.222","0.222","1","0.444"
"2024","50167","KBO-50167","키움 히어로즈","이주형","OF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50167","0.667","2","5","3","1","2","0","0","0","2","0","0","0","1","1","0","0","0.667","0.800","0","1.467"
"2024","50204","KBO-50204","두산 베어스","박지훈","IF","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50204","0.306","22","94","85","14","26","4","0","0","30","10","4","7","5","2","7","1","0.353","0.351","1","0.704"
"2024","50208","KBO-50208","두산 베어스","오명진","IF","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50208","0.318","85","325","277","43","88","14","9","4","132","43","5","1","41","5","53","5","0.477","0.414","14","0.891"
"2024","50304","KBO-50304","키움 히어로즈","김병휘","IF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50304","0.267","50","141","116","15","31","3","0","3","43","14","0","0","16","6","32","2","0.371","0.379","10","0.750"
"2024","50357","KBO-50357","키움 히어로즈","박주홍","OF","고양","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50357","0.287","36","141","115","10","33","6","1","5","56","21","3","2","23","0","35","2","0.487","0.397","2","0.884"
"2024","50458","KBO-50458","삼성 라이온즈","김지찬","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50458","","","","","","","","","","","","","","","","","","","","",""
"2024","50500","KBO-50500","롯데 자이언츠","황성빈","OF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50500","0.143","3","8","7","1","1","0","0","0","1","0","0","0","0","1","2","0","0.143","0.250","0","0.393"
"2024","50600","KBO-50600","NC 다이노스","홍종표","IF","KIA","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50600","0.417","10","26","24","7","10","0","1","0","12","2","2","1","2","0","4","0","0.500","0.462","1","0.962"
"2024","50608","KBO-50608","롯데 자이언츠","이인한","OF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50608","0.286","53","165","147","27","42","17","0","5","74","25","2","2","17","1","39","3","0.503","0.364","1","0.867"
"2024","50657","KBO-50657","KIA 타이거즈","박민","IF","KIA","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50657","0.218","61","193","179","15","39","4","1","2","51","16","3","1","11","1","24","2","0.285","0.267","7","0.552"
"2024","50704","KBO-50704","한화 이글스","임종찬","OF","한화","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50704","0.284","83","340","278","52","79","16","2","13","138","82","8","1","51","4","73","5","0.496","0.394","1","0.890"
"2024","50707","KBO-50707","한화 이글스","최인호","OF","한화","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50707","0.394","27","117","99","21","39","11","3","2","62","21","6","2","14","3","9","2","0.626","0.479","0","1.105"
"2024","50709","KBO-50709","한화 이글스","박정현","IF","상무","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50709","0.313","91","396","352","68","110","20","2","16","182","66","8","4","31","5","55","8","0.517","0.372","4","0.889"
"2024","50840","KBO-50840","SSG 랜더스","현원회","IF","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50840","0.271","65","224","192","23","52","6","0","3","67","43","0","0","23","1","38","7","0.349","0.345","5","0.694"
"2024","50848","KBO-50848","SSG 랜더스","김성민","IF","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50848","0.263","50","126","114","17","30","8","0","2","44","21","0","1","6","4","30","3","0.386","0.317","13","0.703"
