"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","ERA","G","CG","SHO","W","L","SV","HLD","WPCT","TBF","IP","H","HR","BB","HBP","SO","R","ER","IP_OUTS","IP_DECIMAL","WHIP"
"2024","50030","KBO-50030","KT 위즈","소형준","P","KT","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50030","2.70","4","0","0","0","1","0","0","0.000","36","10","7","1","3","0","12","3","3","30","10.000","1.00"
"2024","50036","KBO-50036","키움 히어로즈","이강준","P","상무","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50036","0.76","44","0","0","3","1","11","8","0.750","187","47 1/3","38","0","13","1","37","7","4","142","47.333","1.08"
"2024","50106","KBO-50106","LG 트윈스","유영찬","P","","0","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50106","","","","","","","","","","","","","","","","","","","","",""
"2024","50109","KBO-50109","KT 위즈","성재헌","P","KT","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50109","2.43","24","0","0","1","0","2","7","1.000","154","37","33","2","13","0","38","12","10","111","37.000","1.24"
"2024","50206","KBO-50206","두산 베어스","최종인","P","두산","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50206","4.54","30","0","0","2","3","3","4","0.400","185","39 2/3","38","2","32","1","33","26","20","119","39.667","1.76"
"2024","50211","KBO-50211","두산 베어스","제환유","P","두산","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50211","6.30","2","0","0","0","0","0","0","-","47","10","11","1","5","2","4","7","7","30","10.000","1.60"
"2024","50430","KBO-50430","삼성 라이온즈","홍원표","P","삼성","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50430","5.48","30","0","0","6","0","1","1","1.000","199","42 2/3","49","5","26","3","36","28","26","128","42.667","1.76"
"2024","50441","KBO-50441","삼성 라이온즈","황동재","P","삼성","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50441","5.59","8","0","0","1","2","0","0","0.333","88","19 1/3","21","2","11","1","15","14","12","58","19.333","1.66"
"2024","50464","KBO-50464","삼성 라이온즈","이승민","P","삼성","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50464","4.42","11","0","0","1","2","0","0","0.333","162","38 2/3","35","6","11","1","36","21","19","116","38.667","1.19"
"2024","50556","KBO-50556","롯데 자이언츠","최준용","P","롯데","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50556","3.00","3","0","0","1","0","1","0","1.000","13","3","5","0","0","0","1","2","1","9","3.000","1.67"
"2024","50596","KBO-50596","롯데 자이언츠","홍민기","P","롯데","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50596","2.11","11","0","0","2","1","0","0","0.667","168","42 2/3","30","4","13","4","49","11","10","128","42.667","1.01"
"2024","50604","KBO-50604","KIA 타이거즈","유지성","P","KIA","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50604","3.90","26","0","0","3","1","0","2","0.750","137","32 1/3","31","4","9","4","27","16","14","97","32.333","1.24"
"2024","50641","KBO-50641","KIA 타이거즈","장재혁","P","KIA","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50641","11.30","17","0","0","2","0","0","0","1.000","75","14 1/3","16","1","15","1","16","20","18","43","14.333","2.16"
"2024","50650","KBO-50650","KT 위즈","최용준","P","KT","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50650","5.40","12","0","0","2","1","0","0","0.667","110","25","26","4","10","1","21","16","15","75","25.000","1.44"
"2024","50662","KBO-50662","KIA 타이거즈","정해영","P","KIA","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50662","15.43","3","0","0","0","0","0","0","-","13","2 1/3","5","2","1","0","1","4","4","7","2.333","2.57"
"2024","50705","KBO-50705","한화 이글스","강재민","P","","0","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50705","","","","","","","","","","","","","","","","","","","","",""
"2024","50711","KBO-50711","한화 이글스","김승일","P","한화","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50711","5.40","21","0","0","3","0","0","2","1.000","129","26 2/3","40","1","12","4","28","17","16","80","26.667","1.95"
"2024","50812","KBO-50812","SSG 랜더스","박시후","P","SSG","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50812","3.61","21","0","0","3","6","0","0","0.333","271","62 1/3","67","5","23","1","59","31","25","187","62.333","1.44"
"2024","50859","KBO-50859","KT 위즈","오원석","P","","0","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50859","","","","","","","","","","","","","","","","","","","","",""
"2024","50904","KBO-50904","LG 트윈스","이종준","P","LG","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50904","2.08","7","0","0","2","0","0","0","1.000","89","21 2/3","16","1","7","2","19","5","5","65","21.667","1.06"
"2024","50992","KBO-50992","NC 다이노스","김태경","P","NC","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50992","3.18","8","0","0","1","2","0","0","0.333","120","28 1/3","31","1","6","2","23","11","10","85","28.333","1.31"
"2024","51058","KBO-51058","KT 위즈","한차현","P","KT","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51058","2.58","19","0","0","8","1","0","1","0.889","301","76 2/3","63","5","13","1","62","25","22","230","76.667","0.99"
"2024","51111","KBO-51111","LG 트윈스","송승기","P","상무","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51111","2.41","20","1","1","11","4","0","0","0.733","431","104 2/3","86","8","41","3","121","32","28","314","104.667","1.21"
"2024","51154","KBO-51154","LG 트윈스","김진수","P","LG","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51154","3.45","10","0","0","3","2","0","1","0.600","182","44 1/3","45","0","9","1","28","19","17","133","44.333","1.22"
"2024","51264","KBO-51264","두산 베어스","최승용","P","두산","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51264","0.00","1","0","0","0","1","0","0","0.000","7","1 2/3","1","0","1","0","0","1","0","5","1.667","1.20"
"2024","51299","KBO-51299","KT 위즈","김주완","P","KT","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51299","7.65","20","0","0","1","2","0","2","0.333","101","20","25","3","16","4","21","19","17","60","20.000","2.05"
"2024","51454","KBO-51454","삼성 라이온즈","이승현","P","삼성","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51454","3.78","6","0","0","0","1","0","0","0.000","77","16 2/3","24","0","4","1","20","7","7","50","16.667","1.68"
"2024","51460","KBO-51460","삼성 라이온즈","이재희","P","상무","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51460","2.08","28","0","0","1","0","2","10","1.000","122","30 1/3","21","0","10","1","34","7","7","91","30.333","1.02"
"2024","51516","KBO-51516","롯데 자이언츠","김진욱","P","롯데","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51516","2.97","7","0","0","1","1","0","0","0.500","123","30 1/3","23","2","11","1","28","10","10","91","30.333","1.12"
"2024","51526","KBO-51526","LG 트윈스","우강훈","P","LG","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51526","6.63","17","0","0","0","0","0","2","-","88","19","25","4","4","3","22","18","14","57","19.000","1.53"
"2024","51546","KBO-51546","롯데 자이언츠","정우준","P","롯데","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51546","4.50","34","0","0","3","2","5","3","0.600","152","32","33","3","19","3","25","23","16","96","32.000","1.63"
"2024","51592","KBO-51592","롯데 자이언츠","이병준","P","롯데","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51592","3.44","17","1","1","5","0","0","0","1.000","223","49 2/3","45","1","19","7","51","26","19","149","49.667","1.29"
"2024","51594","KBO-51594","롯데 자이언츠","송재영","P","롯데","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51594","1.91","28","0","0","3","0","0","5","1.000","115","28 1/3","22","1","11","2","28","8","6","85","28.333","1.16"
"2024","51648","KBO-51648","KIA 타이거즈","이의리","P","KIA","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51648","4.50","1","0","0","0","0","0","0","-","12","2","4","0","2","0","3","1","1","6","2.000","3.00"
"2024","51715","KBO-51715","한화 이글스","김기중","P","한화","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51715","4.34","7","0","0","1","1","0","0","0.500","127","29","27","1","8","4","29","18","14","87","29.000","1.21"
"2024","51761","KBO-51761","한화 이글스","배동현","P","한화","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51761","0.30","29","0","0","5","0","0","7","1.000","110","29 2/3","12","0","8","2","32","6","1","89","29.667","0.67"
"2024","51867","KBO-51867","SSG 랜더스","김건우","P","SSG","1","https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51867","2.31","6","0","0","0","1","0","1","0.000","54","11 2/3","6","1","11","1","13","4","3","35","11.667","1.46"
