"season","source_team","player_name","public_player_id","position","age","PA","BB_pct","SO_pct","ISO","BABIP","wRC_plus","SFR","WAR","source_url"
"2025","두산 베어스","양의지","10134","C","38","517","9.7","12.2","0.196","0.353","156.8","-0.9","7.05","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","박찬호","973518","SS","30","595","10.4","11.6","0.072","0.319","102.4","5.9","4.80","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","정수빈","10383","CF","35","546","11.2","10.4","0.091","0.280","98.7","14.4","4.01","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","오명진","1652437","2B","24","371","7.3","25.3","0.103","0.352","88.1","20.7","2.82","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","손아섭","10254","RF","37","416","8.9","14.2","0.083","0.338","101.7","15","2.62","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","강승호","799414","1B","31","400","6.0","28.2","0.136","0.318","86.4","0.2","1.73","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","양석환","973435","1B","34","294","8.2","27.9","0.153","0.326","99.7","4.5","1.63","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","안재석","1656226","SS","23","147","7.5","18.4","0.222","0.375","145.6","-3.3","1.55","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","이유찬","1403013","SS","27","311","10.6","21.2","0.048","0.315","76.1","-3.3","1.20","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","박준순","2941640","3B","19","298","3.4","18.8","0.096","0.338","87.5","-8","1.14","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","김기연","1218001","C","28","245","7.8","18.0","0.068","0.297","73.3","1.3","1.12","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","김인태","799421","LF","31","225","16.0","25.3","0.115","0.290","99.9","-3.7","0.96","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","박지훈","1652361","3B","25","55","9.1","21.8","0.146","0.543","184.4","-1.7","0.82","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","임종성","2933516","3B","20","89","3.4","29.2","0.120","0.375","91.1","4.6","0.72","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","조수행","1216184","LF","32","140","10.0","20.7","0.034","0.322","66.1","-1.8","0.41","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","홍성호","1216187","1B","28","27","3.7","29.6","0.269","0.438","166.1","-0.8","0.30","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","김민석","2238551","LF","21","247","4.9","25.1","0.070","0.304","56.8","8.2","0.22","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","김동준","1672565","LF","23","100","5.0","30.0","0.097","0.328","70.4","-0.9","0.05","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","김민혁","1101179","1B","29","21","19.0","28.6","0.176","0.100","70.8","0.8","0.04","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","박성재","1664622","1B","23","7","0.0","71.4","0.000","0.000","-105.5","2.4","-0.03","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","박민준","2935951","DH","23","2","0.0","50.0","0.000","0.000","-105.5","N/A","-0.04","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","전다민","2933515","DH","24","12","0.0","0.0","0.000","0.083","-57.4","N/A","-0.09","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","류현준","2939287","C","20","22","0.0","27.3","0.000","0.188","-26.9","-0.7","-0.21","https://www.kbofancystats.com/teams/doosanbears/"
"2025","두산 베어스","김대한","1631580","LF","25","37","2.7","16.2","0.083","0.207","35.6","-3.8","-0.31","https://www.kbofancystats.com/teams/doosanbears/"
"2025","한화 이글스","노시환","1631577","3B","25","624","11.2","20.0","0.237","0.280","132.5","6.3","6.72","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","문현빈","2238572","LF","21","592","6.4","13.9","0.133","0.353","124.4","-9.7","4.11","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","최재훈","10315","C","36","348","13.2","13.8","0.067","0.336","117.6","-1.9","3.56","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","채은성","803041","1B","35","527","5.9","18.2","0.179","0.326","123.0","-9.8","3.24","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","강백호","1616905","DH","26","369","11.9","17.3","0.202","0.288","127.7","0","2.88","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","이진영","1216222","RF","28","366","10.4","25.4","0.143","0.347","113.2","-7.1","1.82","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","하주석","433972","SS","31","305","3.9","21.6","0.094","0.377","95.5","-6.5","1.60","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","이도윤","1098453","2B","29","277","4.0","18.8","0.080","0.320","69.8","7.6","1.19","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","이원석","1617189","RF","26","248","9.3","20.6","0.090","0.245","62.7","8.8","1.01","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","황영묵","2933487","2B","26","286","7.0","12.9","0.085","0.314","90.8","-12.4","0.76","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","심우준","973419","SS","30","275","6.2","17.8","0.069","0.279","61.9","-1.4","0.67","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","최인호","1652363","LF","25","159","8.2","18.2","0.108","0.312","99.6","-3.7","0.63","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","김태연","1218057","RF","28","340","6.8","18.2","0.079","0.319","87.2","-17.9","0.15","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","이재원","10202","C","37","151","9.3","15.2","0.056","0.231","46.2","-0.6","0.14","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","임종찬","1652283","RF","24","35","14.3","37.1","0.133","0.250","69.4","0.3","0.09","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","장규현","1656258","DH","23","2","50.0","0.0","0.000","1.000","410.1","N/A","0.09","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","유로결","1631578","RF","25","16","0.0","25.0","0.000","0.222","-3.8","1.2","-0.03","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","박정현","1652364","DH","24","2","0.0","50.0","0.000","0.000","-105.5","N/A","-0.04","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","허인서","1672597","C","22","30","0.0","40.0","0.034","0.294","14.2","0.1","-0.11","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","한화 이글스","권광민","1672599","1B","28","18","0.0","27.8","0.056","0.231","3.6","-0.6","-0.14","https://www.kbofancystats.com/teams/hanwhaeagles/"
"2025","KIA 타이거즈","김호령","1098445","CF","33","381","8.9","24.7","0.151","0.378","115.8","0.3","3.33","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","나성범","778542","RF","36","310","13.5","25.5","0.176","0.347","131.1","-4.9","2.39","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","김선빈","10337","2B","36","308","10.1","11.4","0.107","0.359","130.0","-15.5","2.31","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","김태군","10299","C","36","274","6.2","7.3","0.114","0.262","91.9","2.2","2.07","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","오선우","1631585","1B","29","474","7.2","33.3","0.167","0.375","108.2","-10.3","2.01","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","김도영","1672585","3B","22","122","8.2","18.9","0.273","0.329","151.5","3.9","1.75","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","한준수","1616879","C","26","276","9.4","17.4","0.143","0.250","87.7","1.1","1.71","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","김석환","1403041","LF","26","134","10.4","41.0","0.094","0.475","101.7","7.4","1.03","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","고종욱","154502","LF","37","123","4.1","13.8","0.096","0.316","93.9","9","0.95","https://www.kbofancystats.com/teams/kiatigers/"
"2025","KIA 타이거즈","김규성","1218044","2B","28","222","9.5","22.1","0.067","0.296","72.7","3.6","0.86","https://www.kbofancystats.com/teams/kiatigers/"
