"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","defense_position","G","GS","IP","E","PKO","PO","A","DP","FPCT","PB","SB","CS","CS_PCT","source_url"
"2025","61353","KBO-61353","KIA 타이거즈","고종욱","OF","KIA","좌익수","28","21","160 1/3","0","0","43","2","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66614","KBO-66614","KIA 타이거즈","김규성","IF","KIA","1루수","7","2","23","0","0","23","3","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66614","KBO-66614","KIA 타이거즈","김규성","IF","KIA","2루수","79","25","301 2/3","4","0","65","97","21","0.976","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66614","KBO-66614","KIA 타이거즈","김규성","IF","KIA","3루수","31","6","109 2/3","2","0","10","17","2","0.931","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66614","KBO-66614","KIA 타이거즈","김규성","IF","KIA","유격수","25","11","119 1/3","4","0","21","39","5","0.938","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52605","KBO-52605","KIA 타이거즈","김도영","IF","KIA","3루수","25","25","201","5","0","11","43","4","0.915","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52605","KBO-52605","KIA 타이거즈","김도영","IF","KIA","유격수","1","0","2","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67610","KBO-67610","KIA 타이거즈","김석환","OF","KIA","우익수","10","7","48","0","0","11","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67610","KBO-67610","KIA 타이거즈","김석환","OF","KIA","좌익수","29","26","193 2/3","0","0","44","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","78603","KBO-78603","KIA 타이거즈","김선빈","IF","KIA","2루수","72","68","503 2/3","9","0","96","126","33","0.961","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","78122","KBO-78122","KIA 타이거즈","김태군","C","KIA","포수","95","79","656 1/3","7","2","554","70","7","0.989","3","62","21","25.3","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","65653","KBO-65653","KIA 타이거즈","김호령","OF","KIA","중견수","104","94","852 2/3","6","0","218","7","1","0.974","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","62947","KBO-62947","KIA 타이거즈","나성범","OF","KIA","우익수","71","69","541 2/3","0","0","99","9","2","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","50657","KBO-50657","KIA 타이거즈","박민","IF","KIA","2루수","22","14","112","2","0","22","47","10","0.972","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","50657","KBO-50657","KIA 타이거즈","박민","IF","KIA","3루수","45","13","173 1/3","1","0","14","39","4","0.981","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","50657","KBO-50657","KIA 타이거즈","박민","IF","KIA","유격수","8","0","15","0","0","1","9","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55636","KBO-55636","KIA 타이거즈","박재현","OF","KIA","우익수","8","4","39","2","0","14","0","0","0.875","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55636","KBO-55636","KIA 타이거즈","박재현","OF","KIA","좌익수","16","1","38","0","0","8","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55636","KBO-55636","KIA 타이거즈","박재현","OF","KIA","중견수","20","7","81","1","0","14","1","0","0.938","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67609","KBO-67609","KIA 타이거즈","박정우","OF","KIA","우익수","18","1","46 1/3","0","0","6","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67609","KBO-67609","KIA 타이거즈","박정우","OF","KIA","좌익수","22","2","49 2/3","0","0","11","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67609","KBO-67609","KIA 타이거즈","박정우","OF","KIA","중견수","18","13","92","0","0","20","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64646","KBO-64646","KIA 타이거즈","박찬호","IF","KIA","유격수","134","131","1114 1/3","16","0","229","356","84","0.973","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55637","KBO-55637","KIA 타이거즈","박헌","OF","KIA","우익수","7","3","32","0","0","7","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69727","KBO-69727","KIA 타이거즈","변우혁","IF","KIA","1루수","18","6","68 1/3","0","0","54","9","5","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69727","KBO-69727","KIA 타이거즈","변우혁","IF","KIA","3루수","34","27","240 2/3","4","0","19","57","2","0.950","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","78168","KBO-78168","KIA 타이거즈","서건창","IF","KIA","1루수","2","2","13","0","0","13","0","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","78168","KBO-78168","KIA 타이거즈","서건창","IF","KIA","2루수","7","4","34","0","0","11","12","4","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","78168","KBO-78168","KIA 타이거즈","서건창","IF","KIA","좌익수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69636","KBO-69636","KIA 타이거즈","오선우","IF","KIA","1루수","77","59","505 1/3","10","0","482","33","43","0.981","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69636","KBO-69636","KIA 타이거즈","오선우","IF","KIA","우익수","19","13","102","1","0","20","3","1","0.958","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69636","KBO-69636","KIA 타이거즈","오선우","IF","KIA","좌익수","56","37","333","0","0","90","2","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55645","KBO-55645","KIA 타이거즈","위즈덤","IF","KIA","1루수","88","60","552","4","0","536","28","48","0.993","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
