"snapshot_date","kbo_player_id","player_uid","team","name","profile_name","position_group","position_name","birth_date","age","bats_throws","height_cm","weight_kg","career","is_rookie","is_foreign","membership_source","last_movement_date","last_movement_type","source_note","source_url"
"2025-10-31","78122","KBO-78122","KIA 타이거즈","김태군","김태군","C","포수","1989-12-30","35","우투우타","182","92","양정초-대동중-부산고-LG-NC-경찰-NC-삼성","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=78122"
"2025-10-31","66354","KBO-66354","KIA 타이거즈","주효상","주효상","C","포수","1997-11-11","27","우투좌타","183","95","역북초-강남중-서울고-히어로즈-키움","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=66354"
"2025-10-31","63722","KBO-63722","KIA 타이거즈","한승택","한승택","C","포수","1994-06-21","31","우투우타","174","83","잠전초(남양주리틀)-잠신중-덕수고-한화-경찰-KIA","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=63722"
"2025-10-31","68646","KBO-68646","KIA 타이거즈","한준수","한준수","C","포수","1999-02-13","26","우투좌타","184","95","광주서석초-광주동성중-광주동성고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=68646"
"2025-10-31","66614","KBO-66614","KIA 타이거즈","김규성","김규성","IF","내야수","1997-03-08","28","우투좌타","185","88","갈산초-선린중-선린인터넷고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=66614"
"2025-10-31","52605","KBO-52605","KIA 타이거즈","김도영","김도영","IF","내야수","2003-10-02","22","우투우타","183","85","광주대성초-광주동성중-광주동성고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=52605"
"2025-10-31","78603","KBO-78603","KIA 타이거즈","김선빈","김선빈","IF","내야수","1989-12-18","35","우투우타","165","77","화순초-화순중-화순고-KIA-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=78603"
"2025-10-31","50657","KBO-50657","KIA 타이거즈","박민","박민","IF","내야수","2001-06-05","24","우투우타","184","84","갈산초-성남중-야탑고-KIA-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50657"
"2025-10-31","64646","KBO-64646","KIA 타이거즈","박찬호","박찬호","IF","내야수","1995-06-05","30","우투우타","178","72","신답초-건대부중-장충고-KIA","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=64646"
"2025-10-31","69727","KBO-69727","KIA 타이거즈","변우혁","변우혁","IF","내야수","2000-03-18","25","우투우타","185","100","일산초-현도중-북일고-한화-상무-한화","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=69727"
"2025-10-31","78168","KBO-78168","KIA 타이거즈","서건창","서건창","IF","내야수","1989-08-22","36","우투좌타","176","84","송정동초-충장중-광주제일고-LG-히어로즈-키움-LG-KIA","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=78168"
"2025-10-31","69636","KBO-69636","KIA 타이거즈","오선우","오선우","IF","내야수","1996-12-13","28","좌투좌타","186","95","성동초-자양중-배명고-인하대","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=69636"
"2025-10-31","55645","KBO-55645","KIA 타이거즈","위즈덤","위즈덤","IF","내야수","1991-08-27","34","우투우타","188","99","미국 Saint Mary's(대)-KIA","0","1","opening_roster","","","외국인","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55645"
"2025-10-31","52667","KBO-52667","KIA 타이거즈","윤도현","윤도현","IF","내야수","2003-05-07","22","우투우타","181","84","광주화정초-무등중-광주제일고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=52667"
"2025-10-31","53659","KBO-53659","KIA 타이거즈","정해원","정해원","IF","외야수","2004-05-21","21","우투우타","185","87","제주신광초-덕수중-휘문고","0","0","movement","2025-05-05","소속선수 추가 등록","육성선수 말소","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=53659"
"2025-10-31","55926","KBO-55926","KIA 타이거즈","정현창","정현창","IF","내야수","2006-07-14","19","우투좌타","177","70","김해부곡초-부산토현중-부산공고-NC","0","0","movement","2025-07-28","트레이드","육성선수 말소","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55926"
"2025-10-31","65464","KBO-65464","KIA 타이거즈","최정용","최정용","IF","내야수","1996-10-24","29","우투좌타","179","84","서원초-세광중-세광고-삼성-SK-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=65464"
"2025-10-31","65610","KBO-65610","KIA 타이거즈","황대인","황대인","IF","내야수","1996-02-10","29","우투우타","178","100","군산신풍초-자양중-경기고-KIA-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=65610"
"2025-10-31","61353","KBO-61353","KIA 타이거즈","고종욱","고종욱","OF","외야수","1989-01-11","36","우투좌타","184","83","역삼초-대치중-경기고-한양대-히어로즈-상무-히어로즈-SK-SSG","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=61353"
"2025-10-31","67610","KBO-67610","KIA 타이거즈","김석환","김석환","OF","외야수","1999-02-28","26","좌투좌타","187","97","광주서석초-광주동성중-광주동성고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=67610"
"2025-10-31","65653","KBO-65653","KIA 타이거즈","김호령","김호령","OF","외야수","1992-04-30","33","우투우타","178","85","관산초-안산중앙중-군산상고-동국대-KIA-경찰","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=65653"
"2025-10-31","62947","KBO-62947","KIA 타이거즈","나성범","나성범","OF","외야수","1989-10-03","36","좌투좌타","183","100","광주대성초-진흥중-진흥고-연세대-NC","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=62947"
"2025-10-31","55636","KBO-55636","KIA 타이거즈","박재현","박재현","OF","외야수","2006-12-08","18","우투좌타","180","73","동막초-재능중-인천고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55636"
"2025-10-31","67609","KBO-67609","KIA 타이거즈","박정우","박정우","OF","외야수","1998-02-01","27","좌투좌타","175","68","역삼초-언북중-덕수고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=67609"
"2025-10-31","55637","KBO-55637","KIA 타이거즈","박헌","박헌","OF","외야수","2006-01-05","19","좌투좌타","185","90","광주수창초-충장중-광주제일고","0","0","movement","2025-09-21","소속선수 추가 등록","육성선수 말소","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55637"
"2025-10-31","64560","KBO-64560","KIA 타이거즈","이창진","이창진","OF","외야수","1991-03-04","34","우투우타","173","85","신도초-동인천중-인천고-건국대-롯데-KT-상무-KT","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=64560"
"2025-10-31","72443","KBO-72443","KIA 타이거즈","최형우","최형우","OF","외야수","1983-12-16","41","우투좌타","180","106","진북초-전주동중-전주고-삼성-경찰-삼성-KIA","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=72443"
"2025-10-31","53609","KBO-53609","KIA 타이거즈","곽도규","곽도규","P","투수","2004-04-12","21","좌투좌타","185","90","도척초-공주중-공주고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53609"
"2025-10-31","76225","KBO-76225","KIA 타이거즈","김건국","김건국","P","투수","1988-02-02","37","우투우타","183","86","한서초(서부리틀)-청량중-덕수고-두산-KT-롯데","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=76225"
"2025-10-31","69620","KBO-69620","KIA 타이거즈","김기훈","김기훈","P","투수","2000-01-03","25","좌투좌타","184","93","광주수창초-무등중-광주동성고-KIA-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=69620"
"2025-10-31","60337","KBO-60337","KIA 타이거즈","김대유","김대유","P","투수","1991-05-08","34","좌투좌타","187","92","부산중앙초-부산중-부산고-히어로즈-SK-KT-LG","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=60337"
"2025-10-31","69745","KBO-69745","KIA 타이거즈","김도현","김도현","P","투수","2000-09-15","25","우투우타","183","87","길원초(동대문구리틀)-잠신중-신일고-한화","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=69745"
"2025-10-31","54645","KBO-54645","KIA 타이거즈","김민주","김민주","P","투수","2002-09-08","23","우투우타","182","85","서울청담초(성동구리틀)-건대부중-배명고-강릉영동대","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=54645"
"2025-10-31","63894","KBO-63894","KIA 타이거즈","김사윤","김사윤","P","투수","1994-06-08","31","좌투좌타","182","90","광주화정초-무등중-화순고-SK-상무-SK-SSG","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=63894"
"2025-10-31","66492","KBO-66492","KIA 타이거즈","김승현","김승현","P","투수","1992-07-09","33","우투우타","180","105","노암초-경포중-강릉고-건국대-삼성-상무-삼성-KIA","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=66492"
"2025-10-31","68928","KBO-68928","KIA 타이거즈","김시훈","김시훈","P","투수","1999-02-24","26","우투우타","188","95","양덕초-마산동중-마산고-NC","0","0","opening_roster","2025-07-28","트레이드","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=68928"
"2025-10-31","55646","KBO-55646","KIA 타이거즈","김정엽","김정엽","P","투수","2006-04-18","19","우투우타","185","96","부산수영초-개성중-부산고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=55646"
"2025-10-31","55610","KBO-55610","KIA 타이거즈","김태형","김태형","P","투수","2006-12-15","18","우투우타","184","95","화순초-거원중-덕수고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=55610"
