"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS","SAC","SF","PA_OTHER","SAC_SF_CANDIDATES","SAC_SF_SOURCE","SAC_SF_CONFIDENCE","ISO","K_RATE","BB_RATE","BB_K","XBH","XBH_RATE","HR_RATE","basic_source_url"
"2025","50054","KBO-50054","LG 트윈스","천성호","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50054","0.237","83","199","173","24","41","9","2","1","57","17","3","1","17","5","29","2","0.329","0.323","4","0.652","4","0","0","0","kbo_basic_leaderboard","official","0.092","0.1457","0.0854","0.586","12","0.0603","0.0050","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50066","KBO-50066","KT 위즈","강현우","C","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50066","0.188","40","78","64","5","12","1","0","1","16","8","0","0","10","0","14","1","0.250","0.293","4","0.543","3","1","0","1","kbo_basic_leaderboard","official","0.062","0.1795","0.1282","0.714","2","0.0256","0.0128","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50092","KBO-50092","KT 위즈","윤준혁","IF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50092","0.059","28","18","17","4","1","1","0","0","2","0","1","0","0","0","5","0","0.118","0.059","0","0.177","1","0","0","0","kbo_basic_leaderboard","official","0.059","0.2778","0.0000","0.000","1","0.0556","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50108","KBO-50108","LG 트윈스","함창건","OF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50108","0.188","15","36","32","2","6","2","0","0","8","2","0","0","3","0","9","1","0.250","0.250","0","0.500","0","1","0","1","kbo_basic_leaderboard","official","0.062","0.2500","0.0833","0.333","2","0.0556","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50150","KBO-50150","롯데 자이언츠","손호영","IF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150","0.250","97","375","328","39","82","12","0","4","106","41","7","0","22","10","66","9","0.323","0.313","17","0.636","11","4","0","4","kbo_basic_leaderboard","official","0.073","0.1760","0.0587","0.333","16","0.0427","0.0107","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50167","KBO-50167","키움 히어로즈","이주형","OF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50167","0.240","127","514","446","55","107","22","1","11","164","45","15","1","37","28","115","7","0.368","0.337","1","0.705","3","0","0","0","kbo_basic_leaderboard","official","0.128","0.2237","0.0720","0.322","34","0.0661","0.0214","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50204","KBO-50204","두산 베어스","박지훈","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50204","0.417","37","55","48","11","20","4","0","1","27","8","1","0","5","1","12","1","0.563","0.481","2","1.044","1","0","0","0","kbo_basic_leaderboard","official","0.146","0.2182","0.0909","0.417","5","0.0909","0.0182","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50208","KBO-50208","두산 베어스","오명진","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50208","0.263","107","371","331","38","87","14","4","4","121","41","5","3","27","3","94","3","0.366","0.321","10","0.687","7","3","0","3","kbo_basic_leaderboard","official","0.103","0.2534","0.0728","0.287","22","0.0593","0.0108","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50304","KBO-50304","키움 히어로즈","김병휘","IF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50304","0.250","7","6","4","2","1","0","0","0","1","0","0","0","2","0","1","0","0.250","0.500","0","0.750","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.1667","0.3333","2.000","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","50357","KBO-50357","키움 히어로즈","박주홍","OF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50357","0.226","102","283","248","33","56","11","3","3","82","23","11","1","30","1","72","5","0.331","0.310","3","0.641","2","2","0","2","kbo_basic_leaderboard","official","0.105","0.2544","0.1060","0.417","17","0.0601","0.0106","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
