"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","ERA","G","CG","SHO","W","L","SV","HLD","WPCT","TBF","IP","H","HR","BB","HBP","SO","R","ER","IP_OUTS","IP_DECIMAL","WHIP"
"2025","50030","KBO-50030","KT 위즈","소형준","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030","3.30","26","0","0","10","7","1","0","0.588","617","147 1/3","155","6","29","3","123","60","54","442","147.333","1.25"
"2025","50036","KBO-50036","키움 히어로즈","이강준","P","키움","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50036","6.57","29","0","0","0","3","0","2","0.000","119","24 2/3","29","3","17","2","26","22","18","74","24.667","1.86"
"2025","50106","KBO-50106","LG 트윈스","유영찬","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50106","2.63","39","0","0","2","2","21","1","0.500","177","41","31","2","23","3","52","14","12","123","41.000","1.32"
"2025","50109","KBO-50109","KT 위즈","성재헌","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50109","","","","","","","","","","","","","","","","","","","","",""
"2025","50206","KBO-50206","두산 베어스","최종인","P","두산","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50206","5.40","3","0","0","0","0","0","0","-","9","1 2/3","1","0","3","0","5","1","1","5","1.667","2.40"
"2025","50211","KBO-50211","두산 베어스","제환유","P","두산","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50211","4.96","6","0","0","0","1","0","0","0.000","78","16 1/3","17","2","12","1","8","10","9","49","16.333","1.78"
"2025","50430","KBO-50430","삼성 라이온즈","홍원표","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50430","4.50","2","0","0","0","1","0","0","0.000","12","2","3","0","2","1","1","1","1","6","2.000","2.50"
"2025","50441","KBO-50441","삼성 라이온즈","황동재","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50441","6.97","15","0","0","0","1","0","0","0.000","104","20 2/3","27","1","14","2","22","16","16","62","20.667","1.98"
"2025","50464","KBO-50464","삼성 라이온즈","이승민","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50464","3.78","62","0","0","3","2","0","8","0.600","280","64 1/3","61","5","26","3","53","37","27","193","64.333","1.35"
"2025","50556","KBO-50556","롯데 자이언츠","최준용","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50556","5.30","49","0","0","4","4","1","17","0.500","234","54 1/3","50","5","16","6","62","35","32","163","54.333","1.21"
"2025","50596","KBO-50596","롯데 자이언츠","홍민기","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50596","3.09","25","0","0","0","2","0","3","0.000","129","32","24","0","11","2","39","13","11","96","32.000","1.09"
"2025","50604","KBO-50604","KIA 타이거즈","유지성","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50604","0.00","1","0","0","0","0","0","0","-","3","1","0","0","0","0","0","0","0","3","1.000","0.00"
"2025","50641","KBO-50641","KIA 타이거즈","장재혁","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50641","6.00","3","0","0","0","0","0","0","-","13","3","3","1","3","0","2","2","2","9","3.000","2.00"
"2025","50650","KBO-50650","KT 위즈","최용준","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50650","2.00","7","0","0","1","0","0","0","1.000","39","9","13","0","2","0","5","2","2","27","9.000","1.67"
"2025","50662","KBO-50662","KIA 타이거즈","정해영","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50662","3.79","60","0","0","3","7","27","0","0.300","275","61 2/3","75","4","18","3","72","30","26","185","61.667","1.51"
"2025","50705","KBO-50705","한화 이글스","강재민","P","한화","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50705","9.00","4","0","0","0","0","0","0","-","20","4","6","1","2","1","5","4","4","12","4.000","2.00"
"2025","50711","KBO-50711","한화 이글스","김승일","P","한화","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50711","23.63","5","0","0","0","0","0","0","-","17","2 2/3","3","1","3","3","3","7","7","8","2.667","2.25"
