"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","source_level","level_adjustment","PA","AB","SBA","OOB","PKO","contact","power","plate_discipline","bat_control","timing","bunt","speed","baserunning_judgment","contact_percentile","power_percentile","plate_discipline_percentile","bat_control_percentile","timing_percentile","speed_percentile","baserunning_judgment_percentile","adjusted_avg","adjusted_iso","adjusted_hr_rate","adjusted_bb_rate","adjusted_k_rate","adjusted_sba_rate","adjusted_sb_pct","adjusted_oob_rate","adjusted_pko_rate","batting_confidence","running_confidence","timing_source","timing_split_ab","formula_version","fielding_range","catching","throwing_power","throwing_accuracy","fielding_judgment","composure","leadership","aggressiveness","defense_source","defense_confidence","defense_ip","primary_defense_position","salary_10k_krw","salary_source","salary_prior_rating","salary_rating_adjustment","remaining_formula_version","advanced_public_player_id","advanced_wrc_plus","advanced_sfr","advanced_war","advanced_source_url","rating_confidence","rating_detail_json"
"2025","61353","KBO-61353","KIA 타이거즈","고종욱","OF","KBO","0","123","115","3","3","0","15","12","9","14","12","1","12","11","0.6987","0.4944","0.2504","0.7068","0.5950","0.5120","0.4184","0.2801","0.1100","0.0229","0.0634","0.1642","0.0826","0.7298","0.0504","0.0024","medium","medium","kbo_pitcher_type_splits","115","kbo-hitter-abilities-v7-cross-role-calibrated","12","12","12","12","12","11","12","12","KBO","low","160.3","좌익수","","","","0","kbo-hitter-abilities-v7-cross-role-calibrated","154502","93.9","9","0.95","https://www.kbofancystats.com/teams/kiatigers/","medium","{""level"":""KBO"",""PA"":123,""reliability"":0.5062,""advanced_match"":true,""contact_components"":{""avgPct"":0.8679577464788732,""kGoodPct"":0.8679577464788732,""wrcPct"":0.5991561181434599,""babipPct"":0.5611814345991561},""power_components"":{""isoPct"":0.5704225352112676,""hrPct"":0.7746478873239436,""xbhPct"":0.5686619718309859,""wrcPct"":0.5991561181434599},""discipline_components"":{""bbPct"":0.22711267605633803,""bbkPct"":0.41725352112676056,""obpGapPct"":0.1426056338028169},""defense"":{""position"":""좌익수"",""innings"":160.3,""SFR"":9},""salary_prior"":null,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.7324,""raw_core_average"":12,""target_core_average"":12.4,""calibrated_core_average"":12.4}}"
"2025","66614","KBO-66614","KIA 타이거즈","김규성","IF","KBO","0","222","193","7","0","0","11","11","14","11","11","1","12","12","0.3620","0.2999","0.6153","0.4114","0.4284","0.5425","0.5538","0.2430","0.0875","0.0158","0.0936","0.2131","0.0966","0.7346","0.0116","0.0018","medium","medium","kbo_pitcher_type_splits","193","kbo-hitter-abilities-v7-cross-role-calibrated","12","9","10","8","11","12","10","11","KBO","medium","553.7","2루수","","","","0","kbo-hitter-abilities-v7-cross-role-calibrated","1218044","72.7","3.6","0.86","https://www.kbofancystats.com/teams/kiatigers/","medium","{""level"":""KBO"",""PA"":222,""reliability"":0.6491,""advanced_match"":true,""contact_components"":{""avgPct"":0.477112676056338,""kGoodPct"":0.5193661971830985,""wrcPct"":0.41983122362869196,""babipPct"":0.4282700421940928},""power_components"":{""isoPct"":0.40669014084507044,""hrPct"":0.5933098591549296,""xbhPct"":0.3996478873239437,""wrcPct"":0.41983122362869196},""discipline_components"":{""bbPct"":0.6566901408450704,""bbkPct"":0.625,""obpGapPct"":0.6566901408450704},""defense"":{""position"":""2루수"",""innings"":553.7,""SFR"":3.6},""salary_prior"":null,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.625,""raw_core_average"":11.4,""target_core_average"":11.6,""calibrated_core_average"":11.6}}"
"2025","52605","KBO-52605","KIA 타이거즈","김도영","IF","KBO","0","122","110","3","1","0","15","16","11","12","12","1","12","12","0.7186","0.7480","0.4681","0.6055","0.6050","0.4907","0.5380","0.2867","0.2031","0.0410","0.0862","0.1920","0.0817","0.8067","0.0268","0.0024","medium","medium","kbo_pitcher_type_splits","110","kbo-hitter-abilities-v7-cross-role-calibrated","11","10","11","10","11","13","8","13","KBO","low","203","3루수","50000","team_top_salary","12.05","0","kbo-hitter-abilities-v7-cross-role-calibrated","1672585","151.5","3.9","1.75","https://www.kbofancystats.com/teams/kiatigers/","medium","{""level"":""KBO"",""PA"":122,""reliability"":0.5041,""advanced_match"":true,""contact_components"":{""avgPct"":0.8961267605633803,""kGoodPct"":0.6566901408450705,""wrcPct"":0.9388185654008439,""babipPct"":0.6497890295358649},""power_components"":{""isoPct"":0.977112676056338,""hrPct"":0.9559859154929577,""xbhPct"":0.977112676056338,""wrcPct"":0.9388185654008439},""discipline_components"":{""bbPct"":0.5404929577464789,""bbkPct"":0.6320422535211268,""obpGapPct"":0.3028169014084507},""defense"":{""position"":""3루수"",""innings"":203,""SFR"":3.9},""salary_prior"":12.04683549124502,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.8116,""raw_core_average"":12.8,""target_core_average"":13.2,""calibrated_core_average"":13.2}}"
"2025","67610","KBO-67610","KIA 타이거즈","김석환","OF","KBO","0","134","117","0","1","0","11","12","12","10","11","1","10","10","0.6054","0.4268","0.6422","0.2147","0.4529","0.4597","0.5267","0.2637","0.1089","0.0175","0.0989","0.3189","0.0432","0.7488","0.0246","0.0022","medium","low","kbo_pitcher_type_splits","117","kbo-hitter-abilities-v7-cross-role-calibrated","12","12","10","13","12","11","9","11","KBO","low","241.7","좌익수","","","","0","kbo-hitter-abilities-v7-cross-role-calibrated","1403041","101.7","7.4","1.03","https://www.kbofancystats.com/teams/kiatigers/","medium","{""level"":""KBO"",""PA"":134,""reliability"":0.5276,""advanced_match"":true,""contact_components"":{""avgPct"":0.6971830985915493,""kGoodPct"":0.079225352112676,""wrcPct"":0.6919831223628692,""babipPct"":0.9641350210970464},""power_components"":{""isoPct"":0.5633802816901409,""hrPct"":0.6214788732394366,""xbhPct"":0.5616197183098591,""wrcPct"":0.6919831223628692},""discipline_components"":{""bbPct"":0.7235915492957746,""bbkPct"":0.3609154929577465,""obpGapPct"":0.7130281690140845},""defense"":{""position"":""좌익수"",""innings"":241.7,""SFR"":7.4},""salary_prior"":null,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.5687,""raw_core_average"":11.2,""target_core_average"":11.2,""calibrated_core_average"":11.2}}"
"2025","78603","KBO-78603","KIA 타이거즈","김선빈","IF","KBO","0","308","271","4","3","0","18","13","16","16","15","1","12","13","0.8357","0.3843","0.6847","0.8469","0.7485","0.3658","0.5973","0.3052","0.1122","0.0125","0.0984","0.1339","0.0482","0.8205","0.0258","0.0012","high","medium","kbo_pitcher_type_splits","271","kbo-hitter-abilities-v7-cross-role-calibrated","8","8","10","9","9","14","14","11","KBO","medium","503.7","2루수","60000","team_top_salary","12.38","0","kbo-hitter-abilities-v7-cross-role-calibrated","10337","130","-15.5","2.31","https://www.kbofancystats.com/teams/kiatigers/","high","{""level"":""KBO"",""PA"":308,""reliability"":0.7196,""advanced_match"":true,""contact_components"":{""avgPct"":0.9348591549295775,""kGoodPct"":0.9137323943661972,""wrcPct"":0.879746835443038,""babipPct"":0.8544303797468354},""power_components"":{""isoPct"":0.6232394366197183,""hrPct"":0.5017605633802817,""xbhPct"":0.625,""wrcPct"":0.879746835443038},""discipline_components"":{""bbPct"":0.698943661971831,""bbkPct"":0.9383802816901409,""obpGapPct"":0.5598591549295775},""defense"":{""position"":""2루수"",""innings"":503.7,""SFR"":-15.5},""salary_prior"":12.375628498537262,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.9296,""raw_core_average"":14,""target_core_average"":15.51,""calibrated_core_average"":15.6}}"
"2025","78122","KBO-78122","KIA 타이거즈","김태군","C","KBO","0","274","236","0","3","1","14","13","11","15","13","1","10","8","0.5903","0.5049","0.2278","0.8624","0.6054","0.3521","0.4106","0.2596","0.1180","0.0190","0.0699","0.1059","0.0309","0.7488","0.0326","0.0091","medium","medium","kbo_pitcher_type_splits","236","kbo-hitter-abilities-v7-cross-role-calibrated","12","11","14","9","13","13","14","11","KBO","high","656.3","포수","70000","team_top_salary","12.65","0","kbo-hitter-abilities-v7-cross-role-calibrated","10299","91.9","2.2","2.07","https://www.kbofancystats.com/teams/kiatigers/","medium","{""level"":""KBO"",""PA"":274,""reliability"":0.6954,""advanced_match"":true,""contact_components"":{""avgPct"":0.6355633802816901,""kGoodPct"":0.9524647887323944,""wrcPct"":0.580168776371308,""babipPct"":0.2890295358649789},""power_components"":{""isoPct"":0.6549295774647887,""hrPct"":0.6848591549295775,""xbhPct"":0.653169014084507,""wrcPct"":0.580168776371308},""discipline_components"":{""bbPct"":0.3538732394366197,""bbkPct"":0.920774647887324,""obpGapPct"":0.545774647887324},""defense"":{""position"":""포수"",""innings"":656.3,""SFR"":2.2},""salary_prior"":12.653619025207822,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.8116,""raw_core_average"":12.8,""target_core_average"":13.2,""calibrated_core_average"":13.2}}"
"2025","65653","KBO-65653","KIA 타이거즈","김호령","OF","KBO","0","381","332","13","7","0","15","15","12","12","13","1","14","12","0.7747","0.6516","0.5544","0.2336","0.6027","0.7439","0.5909","0.2783","0.1450","0.0168","0.0897","0.2362","0.0961","0.8473","0.0468","0.0012","high","high","kbo_pitcher_type_splits","332","kbo-hitter-abilities-v7-cross-role-calibrated","12","9","14","8","11","12","12","13","KBO","high","852.7","중견수","","","","0","kbo-hitter-abilities-v7-cross-role-calibrated","1098445","115.8","0.3","3.33","https://www.kbofancystats.com/teams/kiatigers/","high","{""level"":""KBO"",""PA"":381,""reliability"":0.7605,""advanced_match"":true,""contact_components"":{""avgPct"":0.7992957746478874,""kGoodPct"":0.42429577464788737,""wrcPct"":0.8037974683544303,""babipPct"":0.9092827004219409},""power_components"":{""isoPct"":0.8169014084507042,""hrPct"":0.6320422535211268,""xbhPct"":0.8080985915492958,""wrcPct"":0.8037974683544303},""discipline_components"":{""bbPct"":0.6038732394366197,""bbkPct"":0.5193661971830986,""obpGapPct"":0.5809859154929577},""defense"":{""position"":""중견수"",""innings"":852.7,""SFR"":0.3},""salary_prior"":null,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.8292,""raw_core_average"":13,""target_core_average"":13.4,""calibrated_core_average"":13.4}}"
"2025","62947","KBO-62947","KIA 타이거즈","나성범","OF","KBO","0","310","261","0","0","1","14","16","16","11","13","1","9","10","0.6617","0.7923","0.8528","0.2298","0.5230","0.1800","0.5639","0.2665","0.1624","0.0295","0.1247","0.2405","0.0260","0.7488","0.0085","0.0076","high","medium","kbo_pitcher_type_splits","261","kbo-hitter-abilities-v7-cross-role-calibrated","8","11","14","13","11","13","14","11","KBO","medium","541.7","우익수","80000","team_top_salary","12.89","0","kbo-hitter-abilities-v7-cross-role-calibrated","778542","131.1","-4.9","2.39","https://www.kbofancystats.com/teams/kiatigers/","high","{""level"":""KBO"",""PA"":310,""reliability"":0.7209,""advanced_match"":true,""contact_components"":{""avgPct"":0.7112676056338029,""kGoodPct"":0.3714788732394366,""wrcPct"":0.8839662447257384,""babipPct"":0.7974683544303798},""power_components"":{""isoPct"":0.8732394366197183,""hrPct"":0.8503521126760564,""xbhPct"":0.8714788732394366,""wrcPct"":0.8839662447257384},""discipline_components"":{""bbPct"":0.903169014084507,""bbkPct"":0.7447183098591549,""obpGapPct"":0.8767605633802817},""defense"":{""position"":""우익수"",""innings"":541.7,""SFR"":-4.9},""salary_prior"":12.894425372635817,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.8697,""raw_core_average"":13.4,""target_core_average"":14.07,""calibrated_core_average"":14}}"
"2025","50657","KBO-50657","KIA 타이거즈","박민","IF","KBO","0","105","94","1","0","0","7","8","6","7","9","1","11","13","0.3319","0.4093","0.2989","0.2791","0.3909","0.4213","0.5567","0.2331","0.1064","0.0151","0.0690","0.2567","0.0672","0.7716","0.0176","0.0027","medium","low","kbo_pitcher_type_splits","94","kbo-hitter-abilities-v7-cross-role-calibrated","12","13","14","13","11","10","8","12","KBO","medium","300.3","3루수","","","","0","kbo-hitter-abilities-v7-cross-role-calibrated","1652084","52.1","-3.5","-0.08","https://www.kbofancystats.com/teams/kiatigers/","medium","{""level"":""KBO"",""PA"":105,""reliability"":0.4667,""advanced_match"":true,""contact_components"":{""avgPct"":0.3503521126760563,""kGoodPct"":0.18838028169014087,""wrcPct"":0.25949367088607594,""babipPct"":0.48523206751054854},""power_components"":{""isoPct"":0.5035211267605634,""hrPct"":0.4982394366197183,""xbhPct"":0.5052816901408451,""wrcPct"":0.25949367088607594},""discipline_components"":{""bbPct"":0.24119718309859156,""bbkPct"":0.19718309859154928,""obpGapPct"":0.43485915492957744},""defense"":{""position"":""3루수"",""innings"":300.3,""SFR"":-3.5},""salary_prior"":null,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.0951,""raw_core_average"":10.2,""target_core_average"":7.4,""calibrated_core_average"":7.4}}"
"2025","55636","KBO-55636","KIA 타이거즈","박재현","OF","KBO","0","69","62","7","0","0","5","5","8","5","6","1","12","12","0.3093","0.3519","0.5194","0.3124","0.3585","0.5320","0.4174","0.1927","0.0842","0.0124","0.0896","0.2699","0.1821","0.6757","0.0219","0.0034","low","medium","kbo_pitcher_type_splits","62","kbo-hitter-abilities-v7-cross-role-calibrated","10","9","11","9","9","10","6","11","KBO","low","158","중견수","","","","0","kbo-hitter-abilities-v7-cross-role-calibrated","2941658","-20.8","-5","-0.89","https://www.kbofancystats.com/teams/kiatigers/","low","{""level"":""KBO"",""PA"":69,""reliability"":0.3651,""advanced_match"":true,""contact_components"":{""avgPct"":0.0897887323943662,""kGoodPct"":0.11443661971830987,""wrcPct"":0.06118143459915612,""babipPct"":0.07383966244725738},""power_components"":{""isoPct"":0.22359154929577466,""hrPct"":0.18661971830985916,""xbhPct"":0.22359154929577466,""wrcPct"":0.06118143459915612},""discipline_components"":{""bbPct"":0.5862676056338029,""bbkPct"":0.3274647887323944,""obpGapPct"":0.6073943661971831},""defense"":{""position"":""중견수"",""innings"":158,""SFR"":-5},""salary_prior"":null,""salary_support"":0,""cross_role_calibration"":{""reference"":""pitcher_kbo_core_5"",""percentile"":0.0035,""raw_core_average"":9.4,""target_core_average"":5.79,""calibrated_core_average"":5.8}}"
