"date","type","team","player","position_group","detail","action","match_count","warning"
"2025-02-11","군보류 자유계약선수","KIA 타이거즈","김세일","P","","already_absent","0",""
"2025-02-21","군보류 자유계약선수","두산 베어스","장우진","P","","already_absent","0",""
"2025-02-25","개명","삼성 라이온즈","김무신","P","개명전:김윤수","renamed","1",""
"2025-03-19","군보류 자유계약선수","NC 다이노스","정주영","P","","already_absent","0",""
"2025-04-09","개명","KIA 타이거즈","권다결","C","개명전:권혁경","rename_not_on_roster","0",""
"2025-04-15","군보류 자유계약선수","KIA 타이거즈","강병우","P","","already_absent","0",""
"2025-04-15","군보류 자유계약선수","한화 이글스","박준영","P","","already_absent","0",""
"2025-04-28","군보류 자유계약선수","LG 트윈스","송대현","IF","","already_absent","0",""
"2025-04-30","소속선수 추가 등록","키움 히어로즈","이용규","OF","","already_present","1",""
"2025-05-01","소속선수 추가 등록","NC 다이노스","김녹원","P","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","NC 다이노스","이준혁","P","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","SSG 랜더스","김규민","C","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","SSG 랜더스","박정빈","OF","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","SSG 랜더스","최윤석","IF","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","SSG 랜더스","홍대인","IF","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","두산 베어스","고효준","P","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","롯데 자이언츠","김동현","OF","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","롯데 자이언츠","이태경","IF","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","삼성 라이온즈","김태근","OF","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","키움 히어로즈","손힘찬","P","육성선수 말소","added","0",""
"2025-05-01","소속선수 추가 등록","키움 히어로즈","송지후","IF","육성선수 말소","added","0",""
