"search_name","candidate_status","kbo_player_id","name","team_id","team_name","position_name","bats_throws","profile_link","source_url"
"가라비토","retire","55460","가라비토","SS","삼성","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=55460","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"감보아","retire","55532","감보아","LT","롯데","투수","좌투양타","/Record/Retire/Pitcher.aspx?playerId=55532","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강건","now","53006","강건","KT","KT","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=53006","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강민성","now","69064","강민성","KT","KT","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=69064","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강민성","now","55427","강민성","SS","삼성","내야수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=55427","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강민성","retire","69585","강민성","LT","롯데","투수","좌투좌타","/Record/Retire/Pitcher.aspx?playerId=69585","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강민호","now","74540","강민호","SS","삼성","포수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=74540","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강백호","now","68050","강백호","HH","한화","내야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=68050","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강승구","now","54506","강승구","LT","롯데","포수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=54506","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강승호","now","63123","강승호","OB","두산","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=63123","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강재민","now","50705","강재민","HH","한화","투수","우언우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=50705","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강한울","retire","64610","강한울","SS","삼성","내야수","우투좌타","/Record/Retire/Hitter.aspx?playerId=64610","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강현구","retire","51269","강현구","OB","두산","외야수","우투우타","/Record/Retire/Hitter.aspx?playerId=51269","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"강현우","now","50066","강현우","KT","KT","포수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=50066","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"고명준","now","51868","고명준","SK","SSG","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=51868","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"고승민","now","69517","고승민","LT","롯데","내야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=69517","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"고승완","now","54908","고승완","NC","NC","외야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=54908","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"고영우","now","54344","고영우","SM","상무","내야수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=54344","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"고영표","now","64001","고영표","KT","KT","투수","우언우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=64001","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"고종욱","now","61353","고종욱","HT","KIA","외야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=61353","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"고효준","now","72523","고효준","UL","울산","투수","좌투좌타","/Futures/Player/PitcherDetail.aspx?playerId=72523","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"공민규","retire","68407","공민규","SS","삼성","내야수","우투좌타","/Record/Retire/Hitter.aspx?playerId=68407","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"곽도규","now","53609","곽도규","HT","KIA","투수","좌투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=53609","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"곽빈","now","68220","곽빈","OB","두산","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=68220","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"구본혁","now","69100","구본혁","LG","LG","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=69100","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"구승민","now","63543","구승민","LT","롯데","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=63543","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"구자욱","now","62404","구자욱","SS","삼성","외야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=62404","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
