"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","G","SBA","SB","CS","SB_PCT","OOB","PKO","source_url"
"2025","50054","KBO-50054","LG 트윈스","천성호","IF","LG","1","83","4","3","1","75.0","2","2","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50066","KBO-50066","KT 위즈","강현우","C","KT","1","40","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50092","KBO-50092","KT 위즈","윤준혁","IF","KT","1","28","1","1","0","100","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50108","KBO-50108","LG 트윈스","함창건","OF","LG","1","15","0","0","0","-","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50150","KBO-50150","롯데 자이언츠","손호영","IF","롯데","1","97","7","7","0","100","4","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50167","KBO-50167","키움 히어로즈","이주형","OF","키움","1","127","16","15","1","93.8","2","2","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50204","KBO-50204","두산 베어스","박지훈","IF","두산","1","37","1","1","0","100","3","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50208","KBO-50208","두산 베어스","오명진","IF","두산","1","107","8","5","3","62.5","4","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50304","KBO-50304","키움 히어로즈","김병휘","IF","키움","1","7","0","0","0","-","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50357","KBO-50357","키움 히어로즈","박주홍","OF","키움","1","102","12","11","1","91.7","2","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50458","KBO-50458","삼성 라이온즈","김지찬","OF","삼성","1","90","25","22","3","88.0","5","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50500","KBO-50500","롯데 자이언츠","황성빈","OF","롯데","1","79","29","25","4","86.2","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50600","KBO-50600","NC 다이노스","홍종표","IF","NC","1","62","3","1","2","33.3","0","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50608","KBO-50608","롯데 자이언츠","이인한","OF","롯데","1","4","0","0","0","-","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","50657","KBO-50657","KIA 타이거즈","박민","IF","KIA","1","71","1","1","0","100","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
