"draft_year","event_date","overall_pick","round","team","name","position_group","position_name","school","is_early_draft","source_url"
"2026","2025-09-17","1","1","키움 히어로즈","박준현","P","투수","북일고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","2","1","NC 다이노스","신재인","IF","내야수","유신고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","3","1","한화 이글스","오재원","OF","외야수","유신고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","4","1","롯데 자이언츠","신동건","P","투수","동산고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","5","1","SSG 랜더스","김민준","P","투수","대구고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","6","1","KT 위즈","박지훈","P","투수","전주고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","7","1","두산 베어스","김주오","OF","외야수","마산용마고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","8","1","LG 트윈스","양우진","P","투수","경기항공고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","9","1","삼성 라이온즈","이호범","P","투수","서울고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","10","1","키움 히어로즈","박한결","IF","내야수","전주고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","11","2","키움 히어로즈","김지석","IF","내야수","인천고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","12","2","NC 다이노스","이희성","C","포수","원주고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
"2026","2025-09-17","13","2","한화 이글스","강건우","P","투수","북일고","0","https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=11681"
