ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,season,record_team,IP_OUTS,IP_DECIMAL,kbo_player_id,player_name,level,role,has_record,source_url,AVG,PA,AB,2B,3B,TB,RBI,SB,CS,GDP,SLG,OBP,E
3.86,26,0,0,13,6,0,0,0.684,572,133,141,6,45,6,92,63,57,2020,KT,399,133.0,50030,소형준,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030,,,,,,,,,,,,,
4.16,24,0,0,7,7,0,0,0.500,521,119,123,6,51,4,85,67,55,2021,KT,357,119.0,50030,소형준,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030,,,,,,,,,,,,,
3.05,27,0,0,13,6,0,0,0.684,703,171 1/3,158,8,39,5,117,68,58,2022,KT,514,171.333333,50030,소형준,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030,,,,,,,,,,,,,
11.45,3,0,0,0,0,0,0,-,59,11,22,1,3,3,4,14,14,2023,KT,33,11.0,50030,소형준,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030,,,,,,,,,,,,,
3.24,6,0,0,2,0,0,0,1.000,30,8 1/3,7,1,1,1,3,3,3,2024,KT,25,8.333333,50030,소형준,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030,,,,,,,,,,,,,
3.30,26,0,0,10,7,1,0,0.588,617,147 1/3,155,6,29,3,123,60,54,2025,KT,442,147.333333,50030,소형준,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50030,,,,,,,,,,,,,
0.00,1,0,0,0,0,0,0,-,8,2,2,0,1,0,2,0,0,2021,KT,6,2.0,50030,소형준,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50030,,,,,,,,,,,,,
3.86,1,0,0,0,1,0,0,0.000,20,4 2/3,5,1,1,0,0,3,2,2023,KT,14,4.666667,50030,소형준,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50030,,,,,,,,,,,,,
2.70,4,0,0,0,1,0,0,0.000,36,10,7,1,3,0,12,3,3,2024,KT,30,10.0,50030,소형준,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50030,,,,,,,,,,,,,
2.25,1,0,0,0,0,0,0,-,18,4,6,0,0,0,6,1,1,2025,KT,12,4.0,50030,소형준,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50030,,,,,,,,,,,,,
